	g1_01_R1	g1_01_R2	g1_02_R1	g1_02_R2	g1_03_R1	g1_03_R2	g3_01_R1	g3_01_R2	g3_02_R1	g3_02_R2	g3_03_R1	g3_03_R2
5SrRNA:CR33383	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33384	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33385	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33386	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33387	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33388	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33389	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33390	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33391	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33392	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33393	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33394	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33395	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33396	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33397	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33398	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33399	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33400	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33401	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33402	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33403	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33404	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33405	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33406	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33407	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33408	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33409	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33410	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33411	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33412	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33413	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33414	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33415	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33417	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33418	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33419	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33420	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33421	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33422	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33423	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33424	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33425	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33426	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33427	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33428	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33429	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33430	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33431	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33432	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33433	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33434	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33435	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33436	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33437	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33438	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33439	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33440	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33441	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33442	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33443	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33444	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33445	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33446	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33447	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33448	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33449	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33450	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33451	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33452	0	0	0	0	0	0	0	0	0	0	0	0
7B2	0	0	0	0	0	0	0	0	0	0	0	0
7SLRNA:CR32864	0	0	0	0	0	0	0	0	0	0	0	0
7SLRNA:CR42652	0	0	0	0	0	0	0	0	0	0	0	0
825-Oak	0	0	0	0	0	0	0	0	0	0	0	0
A16	0	0	0	0	0	0	0	0	0	0	0	0
AANAT1	0	0	0	0	0	0	0	0	0	0	0	0
AANATL2	0	0	0	0	0	0	0	0	0	0	0	0
AANATL3	0	0	0	0	0	0	0	0	0	0	0	0
AANATL4	0	0	0	0	0	0	0	0	0	0	0	0
AANATL5	0	0	0	0	0	0	0	0	0	0	0	0
AANATL6	0	0	0	0	0	0	0	0	0	0	0	0
AANATL7	0	0	0	0	0	0	0	0	0	0	0	0
ABCA	0	0	0	0	0	0	0	0	0	0	0	0
ABCB7	0	0	0	0	0	0	0	0	0	0	0	0
ABCD	168.606740400789	154.977891277722	163.854706067197	160.596316398501	185.172327228861	197.795427610791	172.678802250745	189.752820572917	193.804518043092	195.550842124411	173.666021323511	202.699863712741
ACC	0	0	0	0	0	0	0	0	0	0	0	0
ACXA	0	0	0	0	0	0	0	0	0	0	0	0
ACXB	0	0	0	0	0	0	0	0	0	0	0	0
ACXC	0	0	0	0	0	0	0	0	0	0	0	0
ACXD	0	0	0	0	0	0	0	0	0	0	0	0
ACXE	0	0	0	0	0	0	0	0	0	0	0	0
ADD1	0	0	0	0	0	0	0	0	0	0	0	0
ADPS	0	0	0	0	0	0	0	0	0	0	0	0
AGBE	0	0	0	0	0	0	0	0	0	0	0	0
AGO1	0	0	0	0	0	0	0	0	0	0	0	0
AGO2	0	0	0	0	0	0	0	0	0	0	0	0
AGO3	0	0	0	0	0	0	0	0	0	0	0	0
AIF	0	0	0	0	0	0	0	0	0	0	0	0
AIMP1	0	0	0	0	0	0	0	0	0	0	0	0
AIMP2	0	0	0	0	0	0	0	0	0	0	0	0
AIMP3	0	0	0	0	0	0	0	0	0	0	0	0
ALiX	0	0	0	0	0	0	0	0	0	0	0	0
AMPKalpha	0	0	0	0	0	0	0	0	0	0	0	0
AMPdeam	0	0	0	0	0	0	0	0	0	0	0	0
AOX1	0	0	0	0	0	0	0	0	0	0	0	0
AOX2	0	0	0	0	0	0	0	0	0	0	0	0
AOX3	0	0	0	0	0	0	0	0	0	0	0	0
AOX4	0	0	0	0	0	0	0	0	0	0	0	0
AP-1-2beta	0	0	0	0	0	0	0	0	0	0	0	0
AP-1gamma	0	0	0	0	0	0	0	0	0	0	0	0
AP-1mu	0	0	0	0	0	0	0	0	0	0	0	0
AP-1sigma	0	0	0	0	0	0	0	0	0	0	0	0
AP-2alpha	0	0	0	0	0	0	0	0	0	0	0	0
AP-2mu	0	0	0	0	0	0	0	0	0	0	0	0
AP-2sigma	0	0	0	0	0	0	0	0	0	0	0	0
APC10	0	0	0	0	0	0	0	0	0	0	0	0
APC4	0	0	0	0	0	0	0	0	0	0	0	0
APC7	0	0	0	0	0	0	0	0	0	0	0	0
APP-BP1	0	0	0	0	0	0	0	0	0	0	0	0
AQP	0	0	0	0	0	0	0	0	0	0	0	0
ARY	0	0	0	0	0	0	0	0	0	0	0	0
ASPP	0	0	0	0	0	0	0	0	0	0	0	0
ATP6AP2	0	0	0	0	0	0	0	0	0	0	0	0
ATP7	0	0	0	0	0	0	0	0	0	0	0	0
ATP8A	0	0	0	0	0	0	0	0	0	0	0	0
ATP8B	0	0	0	0	0	0	0	0	0	0	0	0
ATPCL	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynB	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynC	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynCF6	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynCF6L	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynD	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynE	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynF	0.980271746516213	0.987120326609692	1.95065126270472	1.9348953782952	4.1149406050858	0.979185285201935	0	0	2.17757885441677	1.07445517650775	0	0.993626782905595
ATPsynG	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynGL	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynO	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynbeta	1327.28794478295	1406.64646541881	1977.96038038259	2014.2260888053	1729.30378928731	1768.4086250747	1086.11042097486	1066.04850955036	1321.79036463098	1267.85710827915	986.78438705787	968.786113332956
ATPsynbetaL	0	0	0	0	0	0	0	0	0	0	0	0
ATPsyndelta	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynepsilonL	0	0	0	0	0	0	0	0	0	0	0	0
ATPsyngamma	0	0	0	0	0	0	0	0	0	0	0	0
ATbp	0	0	0	0	0	0	0	0	0	0	0	0
Aasdh	0	0	0	0	0	0	0	0	0	0	0	0
Aatf	0	0	0	0	0	0	0	0	0	0	0	0
Abd-B	0	0	0	0	0	0	0	0	0	0	0	0
Abi	0	0	0	0	0	0	0	0	0	0	0	0
Abl	0	0	0	0	0	0	0	0	0	0	0	0
Abp1	0	0	0	0	0	0	0	0	0	0	0	0
Ac13E	0	0	0	0	0	0	0	0	0	0	0	0
Ac3	0	0	0	0	0	0	0	0	0	0	0	0
Ac76E	0	0	0	0	0	0	0	0	0	0	0	0
Ac78C	0	0	0	0	0	0	0	0	0	0	0	0
AcCoAS	0	0	0	0	0	0	0	0	0	0	0	0
Acam	0	0	0	0	0	0	0	0	0	0	0	0
Acbp1	0	0	0	0	0	0	0	0	0	0	0	0
Acbp2	0	0	0	0	0	0	0	0	0	0	0	0
Acbp3	0	0	0	0	0	0	0	0	0	0	0	0
Acbp4	0	0	0	0	0	0	0	0	0	0	0	0
Acbp5	0	0	0	0	0	0	0	0	0	0	0	0
Acbp6	0	0	0	0	0	0	0	0	0	0	0	0
Ace	0	0	0	0	0	0	0	0	0	0	0	0
Acer	0	0	0	0	0	0	0	0	0	0	0	0
Acf	0	0	0	0	0	0	0	0	0	0	0	0
Achl	0	0	0	0	0	0	0	0	0	0	0	0
Ack	0	0	0	0	0	0	0	0	0	0	0	0
Ack-like	0	0	0	0	0	0	0	0	0	0	0	0
Acn	0	0	0	0	0	0	0	0	0	0	0	0
Acox57D-d	0	0	0	0	0	0	0	0	0	0	0	0
Acox57D-p	0	0	0	0	0	0	0	0	0	0	0	0
Acp1	0	0	0	0	0	0	0	0	0	0	0	0
Acp24A4	0	0	0	0	0	0	0	0	0	0	0	0
Acp26Aa	0	0	0	0	0	0	0	0	0	0	0	0
Acp26Ab	0	0	0	0	0	0	0	0	0	0	0	0
Acp29AB	0	0	0	0	0	0	0	0	0	0	0	0
Acp32CD	0	0	0	0	0	0	0	0	0	0	0	0
Acp33A	0	0	0	0	0	0	0	0	0	0	0	0
Acp36DE	0	0	0	0	0	0	0	0	0	0	0	0
Acp53C14a	0	0	0	0	0	0	0	0	0	0	0	0
Acp53C14b	0	0	0	0	0	0	0	0	0	0	0	0
Acp53C14c	0	0	0	0	0	0	0	0	0	0	0	0
Acp53Ea	0	0	0	0	0	0	0	0	0	0	0	0
Acp54A1	0	0	0	0	0	0	0	0	0	0	0	0
Acp62F	0	0	0	0	0	0	0	0	0	0	0	0
Acp63F	0	0	0	0	0	0	0	0	0	0	0	0
Acp65Aa	0	0	0	0	0	0	0	0	0	0	0	0
Acp76A	0	0	0	0	0	0	0	0	0	0	0	0
Acp95EF	0	0	0	0	0	0	0	0	0	0	0	0
Acp98AB	0	0	0	0	0	0	0	0	0	0	0	0
Acph-1	0	0	0	0	0	0	0	0	0	0	0	0
Acsl	0	0	0	0	0	0	0	0	0	0	0	0
Act42A	0	0	0	0	0	0	0	0	0	0	0	0
Act57B	0	0	0	0	0	0	0	0	0	0	0	0
Act5C	0	0	0	0	0	0	0	0	0	0	0	0
Act79B	0	0	0	0	0	0	0	0	0	0	0	0
Act87E	0	0	0	0	0	0	0	0	0	0	0	0
Act88F	0	0	0	0	0	0	0	0	0	0	0	0
Actbeta	33.3292393815512	40.4719333909973	40.9636765167991	33.8606691201659	28.8045842356006	23.5004468448465	25.5093685143146	23.8382940418238	35.9300510978766	32.2336552952326	37.1424438668781	36.764190967507
Actn	0	0	0	0	0	0	0	0	0	0	0	0
Actn3	0	0	0	0	0	0	0	0	0	0	0	0
Acyp	0	0	0	0	0	0	0	0	0	0	0	0
Acyp2	0	0	0	0	0	0	0	0	0	0	0	0
AdSL	0	0	0	0	0	0	0	0	0	0	0	0
AdSS	0	0	0	0	0	0	0	0	0	0	0	0
Ada	0	0	0	0	0	0	0	0	0	0	0	0
Ada1-1	0	0	0	0	0	0	0	0	0	0	0	0
Ada1-2	0	0	0	0	0	0	0	0	0	0	0	0
Ada2a	0	0	0	0	0	0	0	0	0	0	0	0
Ada2b	0	0	0	0	0	0	0	0	0	0	0	0
Ada3	0	0	0	0	0	0	0	0	0	0	0	0
AdamTS-A	0	0	0	0	0	0	0	0	0	0	0	0
Adar	0	0	0	0	0	0	0	0	0	0	0	0
Adat1	0	0	0	0	0	0	0	0	0	0	0	0
Adck	0	0	0	0	0	0	0	0	0	0	0	0
AdenoK	0	0	0	0	0	0	0	0	0	0	0	0
Adf1	0	0	0	0	0	0	0	0	0	0	0	0
Adgf-A	0	0	0	0	0	0	0	0	0	0	0	0
Adgf-A2	0	0	0	0	0	0	0	0	0	0	0	0
Adgf-B	0	0	0	0	0	0	0	0	0	0	0	0
Adgf-C	0	0	0	0	0	0	0	0	0	0	0	0
Adgf-D	0	0	0	0	0	0	0	0	0	0	0	0
Adgf-E	0	0	0	0	0	0	0	0	0	0	0	0
Adh	0	0	0	0	0	0	0	0	0	0	0	0
Adhr	0	0	0	0	0	0	0	0	0	0	0	0
Adi1	0	0	0	0	0	0	0	0	0	0	0	0
AdipoR	0	0	0	0	0	0	0	0	0	0	0	0
Adk1	0	0	0	0	0	0	0	0	0	0	0	0
Adk2	0	0	0	0	0	0	0	0	0	0	0	0
Adk3	0	0	0	0	0	0	0	0	0	0	0	0
AdoR	0	0	0	0	0	0	0	0	0	0	0	0
Aduk	0	0	0	0	0	0	0	0	0	0	0	0
Ady43A	0	0	0	0	0	0	0	0	0	0	0	0
Aef1	0	0	0	0	0	0	0	0	0	0	0	0
Afti	0	0	0	0	0	0	0	0	0	0	0	0
Ag5r	0	0	0	0	0	0	0	0	0	0	0	0
Ag5r2	0	0	0	0	0	0	0	0	0	0	0	0
AgmNAT	0	0	0	0	0	0	0	0	0	0	0	0
Agpat1	0	0	0	0	1.02873515127145	0	1.96225911648574	0	0	2.1489103530155	1.00384983423995	0
Agpat2	0	0	0	0	0	0	0	0	0	0	0	0
Agpat3	0	0	0	0	0	0	0	0	0	0	0	0
Agpat4	0	0	0	0	0	0	0	0	0	0	0	0
Ahcy	0	0	0	0	0	0	0	0	0	0	0	0
AhcyL1	0	0	0	0	0	0	0	0	0	0	0	0
AhcyL2	0	0	0	0	0	0	0	0	0	0	0	0
Ak6	0	0	0	0	0	0	0	0	0	0	0	0
Akap200	0	0	0	0	0	0	0	0	0	0	0	0
Akh	0	0	0	0	0	0	0	0	0	0	0	0
AkhR	0	0	0	0	0	0	0	0	0	0	0	0
Akt1	0	0	0	0	0	0	0	0	0	0	0	0
AlaRS	0	0	0	0	0	0	0	0	0	0	0	0
AlaRS-m	0	0	0	0	0	0	0	0	0	0	0	0
Aladin	0	0	0	0	0	0	0	0	0	0	0	0
Alas	0	0	0	0	0	0	0	0	0	0	0	0
Ald1	0	0	0	0	0	0	0	0	0	0	0	0
Ald2	0	0	0	0	0	0	0	0	0	0	0	0
Aldh	0	0	0	0	0	0	0	0	0	0	0	0
Aldh-III	0	0	0	0	0	0	0	0	0	0	0	0
Aldh7A1	0	0	0	0	0	0	0	0	0	0	0	0
Alg-2	0	0	0	0	0	0	0	0	0	0	0	0
Alg1	0	0	0	0	0	0	0	0	0	0	0	0
Alg10	0	0	0	0	0	0	0	0	0	0	0	0
Alg11	0	0	0	0	0	0	0	0	0	0	0	0
Alg14	0	0	0	0	0	0	0	0	0	0	0	0
Alg2	0	0	0	0	0	0	0	0	0	0	0	0
Alg3	0	0	0	0	0	0	0	0	0	0	0	0
Alg9	0	0	0	0	0	0	0	0	0	0	0	0
Alh	0	0	0	0	0	0	0	0	0	0	0	0
Alk	0	0	0	0	0	0	0	0	0	0	0	0
AlkB	0	0	0	0	0	0	0	0	0	0	0	0
Alp1	0	0	0	0	0	0	0	0	0	0	0	0
Alp10	0	0	0	0	0	0	0	0	0	0	0	0
Alp11	0	0	0	0	0	0	0	0	0	0	0	0
Alp12	0	0	0	0	0	0	0	0	0	0	0	0
Alp13	0	0	0	0	0	0	0	0	0	0	0	0
Alp2	0	0	0	0	0	0	0	0	0	0	0	0
Alp4	0	0	0	0	0	0	0	0	0	0	0	0
Alp5	0	0	0	0	0	0	0	0	0	0	0	0
Alp6	0	0	0	0	0	0	0	0	0	0	0	0
Alp7	0	0	0	0	0	0	0	0	0	0	0	0
Alp8	0	0	0	0	0	0	0	0	0	0	0	0
Alp9	0	0	0	0	0	0	0	0	0	0	0	0
Alr	0	0	0	0	0	0	0	0	0	0	0	0
Als2	0	0	0	0	0	0	0	0	0	0	0	0
Ama	0	0	0	0	0	0	0	0	0	0	0	0
Amacr	0	0	0	0	0	0	0	0	0	0	0	0
Amnionless	0	0	0	0	0	0	0	0	0	0	0	0
Amph	0	0	0	0	0	0	0	0	0	0	0	0
Amt	0	0	0	0	0	0	0	0	0	0	0	0
Amun	0	0	0	0	0	0	0	0	0	0	0	0
Amy-d	0	0	0	0	0	0	0	0	0	0	0	0
Amy-p	0	0	0	0	0	0	0	0	0	0	0	0
Amyrel	0	0	0	0	0	0	0	0	0	0	0	0
Ance	0	0	0	0	0	0	0	0	0	0	0	0
Ance-2	0	0	0	0	0	0	0	0	0	0	0	0
Ance-3	0	0	0	0	0	0	0	0	0	0	0	0
Ance-4	0	0	0	0	0	0	0	0	0	0	0	0
Ance-5	0	0	0	0	0	0	0	0	0	0	0	0
Andorra	0	0	0	0	0	0	0	0	0	0	0	0
Ank	399.950872578615	398.796611950315	397.932857591763	392.783761793925	434.126233836552	410.278634499611	482.715742655492	422.414570421117	449.670033437062	456.643450015795	461.770923750377	443.157545175896
Ank2	0	0	0	0	0	0	0	0	0	0	0	0
Ankle2	0	0	0	0	0	0	0	0	0	0	0	0
Anp	0	0	0	0	0	0	0	0	0	0	0	0
Ant2	0	0	0	0	0	0	0	0	0	0	0	0
Antp	0	0	0	0	0	0	0	0	0	0	0	0
AnxB10	0	0	0	0	0	0	0	0	0	0	0	0
AnxB11	0	0	0	0	0	0	0	0	0	0	0	0
AnxB9	0	0	0	0	0	0	0	0	0	0	0	0
Aos1	0	0	0	0	0	0	0	0	0	0	0	0
Apc	0	0	0	0	0	0	0	0	0	0	0	0
Apc2	0	0	0	0	0	0	0	0	0	0	0	0
ApepP	0	0	0	0	0	0	0	0	0	0	0	0
Apf	0	0	0	0	0	0	0	0	0	0	0	0
Apl	0	0	0	0	0	0	0	0	0	0	0	0
Aplip1	0	0	0	0	0	0	0	0	0	0	0	0
Apoltp	0	0	0	0	0	0	0	0	0	0	0	0
Appl	0	0	0	0	0	0	0	0	0	0	0	0
Aprt	0	0	0	0	0	0	0	0	0	0	0	0
Aps	0	0	0	0	0	0	0	0	0	0	0	0
Arc1	0	0	0	0	0	0	0	0	0	0	0	0
Arc2	0	0	0	0	0	0	0	0	0	0	0	0
Arc42	0	0	0	0	0	0	0	0	0	0	0	0
Archease	0	0	0	0	0	0	0	0	0	0	0	0
Arf102F	77.4414679747808	68.1113025360687	87.7793068217124	81.2656058883982	84.3562824042589	84.2099345273665	104.980862731987	77.236072695509	121.944415847339	107.445517650775	83.3195362419158	94.3945443760316
Arf51F	0	0	0	0	0	0	0	0	0	0	0	0
Arf79F	0	0	0	0	0	0	0	0	0	0	0	0
ArfGAP1	0	0	0	0	0	0	0	0	0	0	0	0
ArfGAP3	0	0	0	0	0	0	0	0	0	0	0	0
Arfip	0	0	0	0	0	0	0	0	0	0	0	0
Arfrp1	0	0	0	0	0	0	0	0	0	0	0	0
ArgRS	0	0	0	0	0	0	0	0	0	0	0	0
ArgRS-m	0	0	0	0	0	0	0	0	0	0	0	0
Argk	0	0	0	0	0	0	0	0	0	0	0	0
Argl	0	0	0	0	0	0	0	0	0	0	0	0
Arl1	0	0	0	0	0	0	0	0	0	0	0	0
Arl2	0	0	0	0	0	0	0	0	0	0	0	0
Arl4	69.5992940026511	64.1628212296299	58.5195378811416	55.1445182814131	79.2126066479017	57.7719318269142	61.8111621693008	56.2583739387041	65.327365632503	76.2863175320504	49.1886418777575	74.5220087179197
Arl5	0	0	0	0	0	0	0	0	0	0	0	0
Arl6	0	0	0	0	0	0	0	0	0	0	0	0
Arl6IP1	0	0	0	0	0	0	0	0	0	0	0	0
Arl8	0	0	0	0	0	0	0	0	0	0	0	0
Arp1	0	0	0	0	0	0	0	0	0	0	0	0
Arp10	0	0	0	0	0	0	0	0	0	0	0	0
Arp2	0	0	0	0	0	0	0	0	0	0	0	0
Arp3	0	0	0	0	0	0	0	0	0	0	0	0
Arp5	0	0	0	0	0	0	0	0	0	0	0	0
Arp53D	0	0	0	0	0	0	0	0	0	0	0	0
Arp6	0	0	0	0	0	0	0	0	0	0	0	0
Arp8	0	0	0	0	0	0	0	0	0	0	0	0
Arpc1	0	0	0	0	0	0	0	0	0	0	0	0
Arpc2	0	0	0	0	0	0	0	0	0	0	0	0
Arpc3A	0	0	0	0	0	0	0	0	0	0	0	0
Arpc3B	0	0	0	0	0	0	0	0	0	0	0	0
Arpc4	0	0	0	0	0	0	0	0	0	0	0	0
Arpc5	0	0	0	0	0	0	0	0	0	0	0	0
Arr1	0	0	0	0	0	0	0	0	0	0	0	0
Arr2	0	0	0	0	0	0	0	0	0	0	0	0
Ars2	0	0	0	0	0	0	0	0	0	0	0	0
Art1	0	0	0	0	0	0	0	0	0	0	0	0
Art2	0	0	0	0	0	0	0	0	0	0	0	0
Art3	0	0	0	0	0	0	0	0	0	0	0	0
Art4	0	0	0	0	0	0	0	0	0	0	0	0
Art6	0	0	0	0	0	0	0	0	0	0	0	0
Art7	0	0	0	0	0	0	0	0	0	0	0	0
Art8	0	0	0	0	0	0	0	0	0	0	0	0
Art9	0	0	0	0	0	0	0	0	0	0	0	0
Arts	0	0	0	0	0	0	0	0	0	0	0	0
Arv1	0	0	0	0	0	0	0	0	0	0	0	0
Asap	0	0	0	0	0	0	0	0	0	0	0	0
